Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status
"""./rust_mm1""",0.11,0.0,99%,0:00.11,0.0,0.0,0.0,0.0,3416.0,0.0,0.0,292.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.11,0.0,100%,0:00.11,0.0,0.0,0.0,0.0,3224.0,0.0,0.0,1738.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,99%,0:00.10,0.0,0.0,0.0,0.0,3412.0,0.0,0.0,1785.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,99%,0:00.10,0.0,0.0,0.0,0.0,3288.0,0.0,0.0,338.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,99%,0:00.10,0.0,0.0,0.0,0.0,3396.0,0.0,0.0,1754.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3204.0,0.0,0.0,1738.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3360.0,0.0,0.0,288.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3340.0,0.0,0.0,1748.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3256.0,0.0,0.0,1749.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3252.0,0.0,0.0,1736.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,99%,0:00.10,0.0,0.0,0.0,0.0,3384.0,0.0,0.0,667.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3380.0,0.0,0.0,1737.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3364.0,0.0,0.0,1754.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3564.0,0.0,0.0,1332.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3376.0,0.0,0.0,290.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.11,0.0,99%,0:00.11,0.0,0.0,0.0,0.0,3336.0,0.0,0.0,1739.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3256.0,0.0,0.0,1754.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,98%,0:00.11,0.0,0.0,0.0,0.0,3344.0,0.0,0.0,1751.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3408.0,0.0,0.0,290.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3452.0,0.0,0.0,340.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.12,0.0,100%,0:00.12,0.0,0.0,0.0,0.0,3436.0,0.0,0.0,340.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3176.0,0.0,0.0,1743.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.11,0.0,100%,0:00.11,0.0,0.0,0.0,0.0,3428.0,0.0,0.0,1740.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3376.0,0.0,0.0,1742.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.14,0.0,100%,0:00.14,0.0,0.0,0.0,0.0,3204.0,0.0,0.0,1767.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
